Human	dog	mouse	rat	zebrafish
AL359253.1	NO_ORTHO	Gm24767	NO_ORTHO	NO_ORTHO
CROT	CROT	Crot	Crot	crot
ASPG	ASPG	Aspg	Aspg	"si:dkey-9i23.14,si:ch211-209a2.2,si:dkey-74k8.4,aspg,ASPG (2 of 3)"
ASPA	ASPA	Aspa	Aspa	aspa
CIITA	"NLRP5,NLRP1,CIITA,NLRP8,LRRC71,NLRC3"	"Nlrp5,Nlrp1a,Nlrp1b,Ciita,Lrrc71,Nlrc3"	"Nlrp5,Nlrp1a,Nlrp1b,Ciita,Lrrc71,Nlrc3"	"ciita,si:dkeyp-86c4.1,nlrc3"
ASPN	"ASPN,BGN"	"Aspn,Bgn"	Aspn	"dcn,bgnb,bgna,aspn,si:dkey-6n6.1,LOC101882092"
ASPH	ASPH	Asph	Asph	unm_hu7910
RP11-505K9.4	MLYCD	Mlycd	Mlycd	mlycd
FAM86B2	FAM86A	Eef2kmt	Eef2kmt	eef2kmt
FAM86B1	FAM86A	Eef2kmt	Eef2kmt	eef2kmt
UBE2V1	"UBE2V1,TMEM189"	"Ube2v1,Gm8325,Gm5830,Tmem189,Gm20431"	"LOC679539,Ube2v1,LOC100912618,AABR07067339.1"	"ube2v1,ube2v2,tmem189,si:ch211-212o1.2"
UBE2V2	"UBE2V1,UBE2V2"	"Ube2v1,Ube2v2,Gm8325,Gm10088"	"Ube2v2,AABR07067339.1,LOC100912618"	"ube2v1,ube2v2"
CMBL	CMBL	Cmbl	Cmbl	cmbl
ZNF880	NO_ORTHO	"Zfp160,Zfp53,Gm13151,Zfp677,Gm13051"	NO_ORTHO	"si:dkey-233e3.3,ZNF880,znf974,si:dkey-40n15.2,znf1068,si:ch73-367f21.4,gb:am422109,znf1019,znf1018,znf976,znf989,znf1031,znf999,znf984,znf992,znf1021,si:dkeyp-53e4.2,znf1030"
C1GALT1C1	"C1GALT1C1,CHSY3"	C1galt1c1	C1galt1c1	c1galt1c1
SSTR1	SSTR1	Sstr1	Sstr1	"sstr1a,LOC557645"
SSTR3	SSTR3	Sstr3	Sstr3	"sstr3,LOC100334518"
SSTR2	SSTR2	Sstr2	Sstr2	"LOC100333578,sstr2a,sstr2b"
SSTR5	SSTR5	Sstr5	Sstr5	"sstr3,sstr5"
SSTR4	NO_ORTHO	Sstr4	Sstr4	"sstr1a,LOC557645"
LDLRAP1	LDLRAP1	Ldlrap1	Ldlrap1	"si:dkey-71h2.2,ldlrap1b,ldlrap1a"
CTNNB1	"CTNNB1,JUP"	"Ctnnb1,Jup"	"Ctnnb1,Jup"	"ctnnb1,ctnnb2,jupb,jupa"
RNU6-1062P	U6	NO_ORTHO	U6	U6
RMST_9	NO_ORTHO	Gm27999	NO_ORTHO	NO_ORTHO
RMST_8	RMST_8	Gm27608	NO_ORTHO	NO_ORTHO
RMST_5	RMST_5	Gm27582	NO_ORTHO	NO_ORTHO
RMST_4	RMST_4	Gm27366	NO_ORTHO	NO_ORTHO
RMST_7	RMST_7	Gm27588	NO_ORTHO	NO_ORTHO
RMST_6	RMST_6	Gm27753	NO_ORTHO	NO_ORTHO
RMST_3	RMST_3	Gm27419	NO_ORTHO	NO_ORTHO
RMST_2	RMST_2	NO_ORTHO	NO_ORTHO	NO_ORTHO
WNK2	"WNK2,FAM120C,WNK1"	"Wnk2,Wnk1"	Wnk2	"prkca,wnk2"
RNU1-149P	U1	NO_ORTHO	NO_ORTHO	U1
LRRC7	"LRRC59,ERBB2IP,LRRC18,LRRC7,LRCH1,LRCH2,LRCH3,LRRC63,PHLPP1,LRRIQ4,LRR1"	"Phlpp1,Erbb2ip,Lrrc18,Lrrc7,Lrch1,Lrch2,Lrch3,Lrrc63,Lrrc59,Lrriq4,Lrr1"	"Phlpp1,Lrr1,Lrrc18,Lrrc7,Lrch1,Lrch2,Lrch3,Lrrc63,Lrrc59,Lrriq4"	"lrrc18b,lrrc18a,lrrc7,si:ch73-40a17.1,lrch4,lrch1,lrch2,lrrc59"
ATN1	"RERE,ATN1"	"Rere,Atn1"	"Atn1,LOC100911672"	"rerea,atn1"
WNK4	"WNK4,VPS25"	Wnk4	Wnk4	"LOC100330953,si:dkeyp-61g11.1,wnk4"
TOB1	TOB1	Tob1	Tob1	"tob1a,tob1b"
TNIP2	TNIP2	Tnip2	Tnip2	tnip2
LCE4A	NO_ORTHO	NO_ORTHO	AABR07012323.1	NO_ORTHO
TNIP1	TNIP1	Tnip1	Tnip1	tnip1
MIR31	cfa-mir-31	NO_ORTHO	Mir3554	mir31
MIR32	cfa-mir-32	NO_ORTHO	Mir32	NO_ORTHO
MAN1B1	"MAN1B1,LOC607002"	Man1b1	Man1b1	"man1b1a,man1b1b"
LBP	"LBP,LOC102156842"	Lbp	Lbp	bpifcl
LBR	"LBR,TM7SF2"	"Lbr,Tm7sf2"	"Lbr,Tm7sf2"	"si:ch1073-429i10.1,lbr,tm7sf2,dhcr7"
ATP5J2-PTCD1	PTCD1	Ptcd1	Ptcd1	ptcd1
OR5M3	"OR5M3,LOC483522,LOC483524"	"Olfr1033,Olfr1032"	"Olr473,Olr475"	NO_ORTHO
LBH	LBH	Lbh	Lbh	"lbh,si:dkeyp-72h1.1"
IMP3	IMP3	Imp3	Imp3	imp3
IMP4	IMP4	Imp4	Imp4	imp4
PLD5	PLD5	Pld5	Pld5	"pld5,si:ch211-194e18.2,si:dkeyp-110e4.6"
ATP1B4	ATP1B4	Atp1b4	Atp1b4	atp1b4
ACIN1	ACIN1	Acin1	Acin1	"acin1a,acin1b"
ATP1B2	"ATP1B2,ATP1B3"	"Atp1b2,Atp1b3"	"Atp1b2,Atp1b3"	"atp1b2a,atp1b2b,atp1b3b,atp1b3a"
ATP1B3	"ATP1B2,ATP1B3"	"Atp1b2,Atp1b3"	"Atp1b2,Atp1b3"	"atp1b2a,atp1b2b,atp1b3b,atp1b3a"
ATP1B1	ATP1B1	Atp1b1	Atp1b1	"atp1b1a,atp1b1b"
BX255923.2	CBWD2	Cbwd1	Cbwd1	cbwd
RNU6-1019P	U6	NO_ORTHO	NO_ORTHO	NO_ORTHO
RNU6-1157P	U6	NO_ORTHO	U6	NO_ORTHO
PLD2	"PLD1,PLD2"	Pld2	Pld2	"si:ch211-168k14.2,pld1b,pld2,pld1a"
NOS1AP	NOS1AP	Nos1ap	"Nos1ap,LOC100361087"	"nos1apa,nos1apb,si:dkey-34e4.1"
TSEN15	TSEN15	Tsen15	Tsen15	tsen15
PLD3	PLD3	Pld3	Pld3	"si:dkeyp-110e4.6,pld3"
SNX3	"SNX3,SNX12"	"Snx3,Snx12"	"Snx3,Snx12"	"snx3,snx12"
SNX2	SNX2	Snx2	Snx2	"snx2,snx1b,snx1a,SNX2"
SNX1	"SNX2,SNX1"	Snx1	Snx1	"snx1b,snx1a"
SNX7	SNX7	Snx7	Snx7	"snx30,snx7"
SNX6	"LOC609486,SNX32,SNX6"	"Snx32,Snx6"	"Snx32,Snx6"	snx6
SNX5	SNX5	Snx5	Snx5	snx5
SNX4	SNX4	Snx4	Snx4	snx4
RPL27A	"RPL27A,LOC102151361,LOC100685993"	"Gm7536,Rpl27a"	"RGD1561984,Rpl27a,RGD1562402,AABR07022046.1,LOC690134,RGD1565679,RGD1565415,RGD1559972,AC118833.1"	rpl27a
SNX8	SNX8	Snx8	Snx8	"snx8a,snx8b,snx8,LOC799225"
TRAV9-1	NO_ORTHO	"Trav6d-5,Trav6n-5,Trav6-5"	"AABR07017804.1,AABR07017745.2,AABR07017617.2,AABR07017662.1"	NO_ORTHO
TRAV9-2	NO_ORTHO	"Trav6d-6,Trav6n-6,Trav6n-7,Trav6-3,Trav6-2,Trav6-1,Trav6-6,Trav6-4,Trav6-7-dv9,Trav6d-7,Trav6d-4,Trav6d-3"	"AABR07017830.1,LOC100911980,AABR07017745.3,AABR07017707.1,AABR07017597.2,AABR07017868.1,AABR07017838.1,LOC100361213,AABR07017639.1"	NO_ORTHO
KHSRP	"KHSRP,FUBP1"	Khsrp	Khsrp	"fubp1,fubp3,khsrp"
TIMELESS	TIMELESS	Timeless	Timeless	timeless
PHKG2	"PHKG2,PHKG1"	"Phkg2,Phkg1"	"Phkg2,Phkg1"	"phkg2,phkg1a,phkg1b"
PHKG1	"PHKG2,PHKG1"	"Phkg2,Phkg1"	"Phkg2,Phkg1"	"phkg1b,phkg1a,phkg2"
ORAI2	"ORAI2,ORAI3"	Orai2	Orai2	orai2
ORAI3	ORAI3	Orai3	Orai3	"orai2,orai1a,orai1b"
ORAI1	ORAI1	Orai1	Orai1	"LOC566671,orai1a,orai1b"
SNORA70D	NO_ORTHO	Gm22163	NO_ORTHO	NO_ORTHO
SNORA70F	NO_ORTHO	Gm22163	NO_ORTHO	NO_ORTHO
IFNA6	NO_ORTHO	"Ifna9,Ifna2,Ifna1,Ifna7,Ifna6,Ifna5,Ifna4,Ifnab,Ifna13,Ifna12,Ifna11,Ifna16,Ifna15,Ifna14"	"AABR07049128.1,AABR07049134.3,LOC100912314,Ifna2,Ifna5,LOC103690314,RGD1561246,RGD1564897,LOC100912356,Ifna11,Ifna4,RGD1559679,LOC100911527"	ifnphi3
DLAT	DLAT	Dlat	"Dlat,LOC679881"	dlat
C12orf29	C15H12orf29	4930430F08Rik	RGD1307947	zgc:103499
RNU6-842P	U6	"Gm23846,Gm22070"	NO_ORTHO	NO_ORTHO
FABP6	FABP6	Fabp6	Fabp6	fabp6
FABP7	"FABP7,FABP3"	"Fabp7,Fabp3-ps1,Fabp3"	"Fabp7,Fabp3"	"fabp7b,fabp11a,fabp7a"
FABP4	"LOC100686507,FABP4,FABP9"	"Fabp4,Pmp2"	"Fabp4,Pmp2"	"fabp11b,fabp7b,fabp7a,fabp11a,CABZ01088982.1"
FABP5	"LOC102155424,FABP5"	Fabp5	"RGD1563350,Fabp5"	"fabp11b,fabp11a,CABZ01088982.1"
FABP2	FABP2	Fabp2	Fabp2	fabp2
FABP3	"FABP7,FABP3"	"Fabp7,Fabp3-ps1,Fabp3"	"Fabp7,Fabp3"	"fabp7b,fabp11a,fabp7a,fabp3"
FANCD2	FANCD2	Fancd2	Fancd2	fancd2
FABP1	FABP1	Fabp1	Fabp1	"fabp1a,fabp1b.2,fabp1b.1"
AKR1C4	"AKR1D1,AKR1C3"	"Akr1cl,Akr1c14,Akr1c12,Akr1c13,Akr1d1,Akr1c18,Akr1c19,Akr1c6,Akr1c21,Akr1c20"	"RGD1564865,Akr1cl,Akr1c14,Akr1c12,Akr1c13,Akr1d1,Akr1c19,Akr1c12l1,Akr1c1,Akr1c2,Akr1c3"	NO_ORTHO
GABRA4	GABRA4	Gabra4	Gabra4	"gabra5,gabra6a,gabra6b,zgc:110204,GABRA4,GABRA2 (1 of 2)"
GABRA6	GABRA6	Gabra6	Gabra6	"gabra5,gabra6a,gabra6b,GABRA2 (1 of 2),GABRA4"
GABRA1	"GABRA5,GABRA3,LOC489143,GABRA2"	"Gabra5,Gabra1,Gabra3,Gabra2"	"Gabra5,Gabra1,Gabra2"	"gabra6a,gabra6b,si:dkey-52k1.6,gabra5,GABRA4,gabra1,GABRA2 (1 of 2)"
AKR1C1	"AKR1D1,AKR1C3"	"Akr1cl,Akr1c14,Akr1c12,Akr1c13,Akr1d1,Akr1c18,Akr1c19,Akr1c6,Akr1c21,Akr1c20"	"RGD1564865,Akr1cl,Akr1c14,Akr1c12,Akr1c13,Akr1d1,Akr1c19,Akr1c12l1,Akr1c1,Akr1c2,Akr1c3"	NO_ORTHO
AKR1C2	"AKR1D1,AKR1C3"	"Akr1cl,Akr1c14,Akr1c12,Akr1c13,Akr1d1,Akr1c18,Akr1c19,Akr1c6,Akr1c21,Akr1c20"	"RGD1564865,Akr1cl,Akr1c14,Akr1c12,Akr1c13,Akr1d1,Akr1c19,Akr1b1-ps2,Akr1c12l1,Akr1c1,Akr1c2,Akr1c3"	NO_ORTHO
FABP9	FABP9	"Gm37389,Fabp9"	Fabp9	"fabp11b,fabp7b,fabp7a,fabp11a,CABZ01088982.1"
IGLV3-10	NO_ORTHO	NO_ORTHO	AABR07034736.1	NO_ORTHO
IGLV3-12	NO_ORTHO	NO_ORTHO	NO_ORTHO	NO_ORTHO
IGLV3-16	NO_ORTHO	NO_ORTHO	AABR07034736.1	NO_ORTHO
IGLV3-19	NO_ORTHO	NO_ORTHO	NO_ORTHO	NO_ORTHO
SEC61B	SEC61B	"Gm10320,Sec61b"	Sec61b	sec61b
DOCK2	"DOCK2,DOCK3,DOCK1,DOCK4,DOCK5"	"Dock2,Dock3,Dock1,Dock4,Dock5"	"Dock2,Dock3,Dock1,Dock4,Dock5"	"dock2,si:dkey-81e3.1,LOC561387,dock4b,dock5"
RP11-322E11.6	INO80C	NO_ORTHO	NO_ORTHO	ino80c
RRP9	RRP9	Rrp9	Rrp9	rrp9
GRIA1	"GRIA2,GRIA3,GRIA1,GRIA4"	"Gria2,Gria3,Gria1,Gria4"	"Gria3,Gria1,Gria4"	"gria2a,gria3b,gria3a,gria4b,gria4a,gria1a,gria1b,gria2b"
SEPW1	SEPW1	Sepw1	Sepw1	sepw1
ZNF75D	"ZNF75A,LOC100688087,ZNF75D"	NO_ORTHO	NO_ORTHO	NO_ORTHO
GRIA4	"GRIA2,GRIA3,GRIA1,GRIA4"	"Gria2,Gria3,Gria1,Gria4"	"Gria3,Gria1,Gria4"	"gria2a,gria3b,gria2b,gria4b,gria4a,gria1a,gria1b,gria3a"
EP300	"EP300,ZC3H7B,CREBBP"	"Ep300,Crebbp"	Ep300	"crebbpa,ep300a,ep300b,crebbpb"
NPY5R	NPY5R	Npy5r	Npy5r	NO_ORTHO
U6atac	U6atac	"Gm24922,Gm23664,Gm25542"	U6atac	NO_ORTHO
NEU4	NO_ORTHO	Neu4	"Neu4,NEWGENE_1308624"	neu4
RNU6-374P	NO_ORTHO	Gm22245	NO_ORTHO	NO_ORTHO
NEU1	NEU1	Neu1	Neu1	neu1
NEU2	NEU2	Neu2	Neu2	NO_ORTHO
NEU3	NEU3	Neu3	Neu3	"neu3.3,neu3.2,neu3.1,neu3.5,neu3.4"
OPRL1	OPRL1	Oprl1	Oprl1	oprl1
MED10	MED10	Med10	Med10	med10
MED11	MED11	Med11	Med11	med11
MED12	"MED12,MED12L"	"Med12,Med12l"	Med12	med12
MED13	"MED13L,MED13"	"Med13l,Med13"	Med13	"med13a,med13b"
MED14	MED14	Med14	"LOC103694537,Med14"	med14
MED15	MED15	Med15	Med15	med15
MED16	MED16	Med16	Med16	med16
MED17	MED17	Med17	Med17	med17
MED18	MED18	Med18	Med18	med18
MED19	MED19	Med19	Med19	"med19b,med19a"
RNU6-946P	U6	Gm26111	U6	NO_ORTHO
RNU6-1212P	U6	"Gm23066,Gm22384,Gm25720"	NO_ORTHO	NO_ORTHO
EEF1B2	"LOC475115,EEF1B2"	"Eef1d,Eef1b2"	"Eef1b2l,AABR07006688.1,Eef1d,Eef1b2"	"eef1db,eef1da,eef1b2"
KCNT1	KCNT1	"Kcnt1,Kcnt2"	"Kcnt1,Kcnt2"	"kcnt1,kcnt2,zmp:0000000750,si:dkey-21e5.1"
TLX1	TLX1	Tlx1	Tlx1	"tlx1,tlx2"
TLX2	"TLX2,TLX3"	"Tlx2,Tlx3"	"NEWGENE_1595506,Tlx2,Tlx3"	"tlx3b,tlx2"
TLX3	"TLX2,TLX3"	"Tlx2,Tlx3"	Tlx3	"LOC100008066,tlx2,tlx3b,tlx3a"
ADH1C	"LOC100856533,TP53I3"	Adh1	"Adh1,Adh6"	"adh8a,adh8b,zgc:77938,tp53i3,zgc:63568"
ADH1B	"LOC100856533,TP53I3"	"Adh1,Adh7"	"Adh1,Adh7,Adh6"	"zgc:77938,adh5,zgc:63568,adh8a,adh8b,tp53i3"
ADH1A	"LOC100856533,TP53I3"	"Adh1,Adh7"	"Adh1,Adh7,Adh6"	"zgc:77938,adh5,zgc:63568,adh8a,adh8b,tp53i3"
MUSK	MUSK	Musk	Musk	musk
KIAA1257	KIAA1257	NO_ORTHO	NO_ORTHO	gb:cn021732
MLEC	MLEC	Mlec	"Unc119b,Mlec"	mlec
SLC30A9	SLC30A9	Slc30a9	Slc30a9	slc30a9
SLC30A8	SLC30A8	Slc30a8	Slc30a8	"slc30a8,LOC560642"
SLC30A5	SLC30A5	Slc30a5	Slc30a5	slc30a5
SLC30A4	SLC30A4	Slc30a4	Slc30a4	slc30a4
SLC30A7	SLC30A7	Slc30a7	Slc30a7	slc30a7
SLC30A6	SLC30A6	Slc30a6	Slc30a6	slc30a6
SLC30A1	SLC30A1	Slc30a1	Slc30a1	"slc30a1a,slc30a1b"
SLC30A3	"SLC30A3,SLC30A2"	"Slc30a3,Slc30a2"	Slc30a3	slc30a2
SLC30A2	"SLC30A3,SLC30A2"	"Slc30a3,Slc30a2"	"Slc30a3,Slc30a2"	slc30a2
EIF5AL1	"EIF5A2,EIF5A"	"Eif5a2,Eif5a"	"Eif5a2,Eif5a"	"eif5a2,eif5a"
MT1HL1	"MT1,MT2A"	"Mt2,Mt1"	"Mt1m,Mt1,Mt2A"	mt2
EML2	"EML2,EML3,EML1"	"Eml2,Eml3,Eml4"	"Eml2,Eml3"	"eml2,eml3,eml1"
EML3	"EML2,EML3,EML1"	"Eml2,Eml3,Eml4"	Eml3	"eml2,eml3,eml1"
EML1	"EML2,EML3,EML1"	"Eml2,Eml3,Eml1,Eml4"	"Eml2,Eml3,Eml1"	"eml2,eml3,eml1"
EML6	"EML6,EML5"	"Eml6,Eml5"	"Eml6,Eml5"	"EML6,eml6,si:dkey-1f12.3"
EML4	"EML2,EML3,EML1,EML4"	"Eml2,Eml3,Eml4"	"Eml2,Eml3,Eml4"	"eml2,eml3,eml1"
EML5	"EML6,EML5"	"Eml6,Eml5"	"Eml6,Eml5"	"eml6,si:dkey-1f12.3"
H19_2	H19_2	Gm27786	NO_ORTHO	NO_ORTHO
H19_1	H19_1	Gm27483	NO_ORTHO	NO_ORTHO
HLA-DPB1	"HLA-DPB1,LOC100856137,HLA-DRB1"	"H2-Ab1,H2-Eb1"	"RT1-Bb,RT1-Db1"	"si:busm1-104n07.3,zmp:0000001138,mhc2dab,si:zfos-2070c2.3,mhc2dcb,wu:fd58b11,si:dkey-33b17.3,mhc2dbb,si:busm1-228j01.6,LOC103911540,si:busm1-194e12.12"
HOXB13-AS1_2	NO_ORTHO	Gm27898	NO_ORTHO	NO_ORTHO
HOXB13-AS1_1	NO_ORTHO	Gm27605	NO_ORTHO	NO_ORTHO
RN7SKP291	7SK	Gm23875	7SK	NO_ORTHO
RN7SKP290	7SK	"Gm10872,Gm23759"	7SK	NO_ORTHO
RN7SKP293	7SK	NO_ORTHO	NO_ORTHO	rn7sk
RN7SKP292	7SK	Rn7sk	NO_ORTHO	rn7sk
RN7SKP295	7SK	Gm24534	NO_ORTHO	NO_ORTHO
RN7SKP297	NO_ORTHO	"Gm24290,Gm25288"	NO_ORTHO	NO_ORTHO
RN7SKP296	7SK	NO_ORTHO	NO_ORTHO	NO_ORTHO
RN7SKP299	7SK	"Gm26350,Gm23894"	7SK	NO_ORTHO
RN7SKP298	7SK	Gm22160	7SK	NO_ORTHO
RSPO3	RSPO3	Rspo3	Rspo3	"rspo3,rspo1"
RSPO2	RSPO2	Rspo2	Rspo2	rspo2
RSPO1	RSPO1	Rspo1	Rspo1	"rspo3,rspo1"
CNN1	"CNN1,CNN3"	"Cnn1,Cnn3"	"Cnn1,Cnn3"	"cnn3b,cnn3a,cnn2,cnn1a,cnn1b"
CNN3	"CNN1,CNN3"	"Cnn1,Cnn3"	"Cnn1,Cnn3"	"cnn3b,cnn3a,cnn1b,cnn1a,cnn2"
CNN2	CNN2	Cnn2	Cnn2	"cnn3b,cnn3a,cnn1b,cnn1a,cnn2"
CHAC2	CHAC2	Chac2	Chac2	chac2
CHAC1	"CHAC1,LOC487504"	Chac1	Chac1	chac1
IGKV3D-15	IGKV3D-15	"Igkv8-21,Igkv18-36,Igkv6-32,Igkv8-26,Igkv6-15"	"AABR07051533.1,LOC100361009,LOC100912707,AABR07051533.2,RGD1564184"	"igl3v3,igl3v2,igl3v1,si:dkey-234i14.12,si:dkey-234i14.15,si:dkey-234i14.14,igl3v4,si:dkey-234i14.13,zmp:0000001211,igl4v10,igl4v8,igl4v9,zgc:153659,CU896602.2,LOC797398"
FCMR	FAIM3	Fcmr	Fcmr	NO_ORTHO
EIF5B	EIF5B	Eif5b	"Eif5b,AABR07043748.1"	eif5b
NEPNP	NO_ORTHO	Nepn	NO_ORTHO	NO_ORTHO
EIF5A	"EIF5A2,EIF5A"	"Eif5a2,Eif5a"	"Eif5a2,Eif5a"	"eif5a2,eif5a"
CCSER1	FAM190A	Ccser1	Ccser1	ccser1
RNU6-496P	U6	NO_ORTHO	NO_ORTHO	NO_ORTHO
TUBB8	NO_ORTHO	NO_ORTHO	NO_ORTHO	tubb2
TUBB6	"TUBB6,TUBB4B,TUBB4A,TUBB3,TUBB,TUBB2B"	"Tubb6,Tubb4b,Tubb4a,Tubb5,Tubb3,Tubb1,Tubb2a,Tubb2b"	"Tubb6,Tubb4b,Tubb2a,Tubb3,Tubb2b"	"tubb6,tubb4b,tubb5,tubb2,tubb1,zgc:65894,zgc:55461"
TUBB3	TUBB3	Tubb3	Tubb3	NO_ORTHO
TUBB1	"TUBB6,TUBB4B,TUBB4A,TUBB,TUBB1,TUBB3,TUBB2B"	"Tubb6,Tubb4b,Tubb4a,Tubb5,Tubb3,Tubb1,Tubb2a,Tubb2b"	"Tubb6,Tubb4b,Tubb3,Tubb1,Tubb2a,Tubb2b"	"tubb4b,tubb5,tubb2,tubb1,zgc:65894,zgc:55461"
C19orf71	C20H19orf71	4930404N11Rik	LOC690617	NO_ORTHO
C19orf70	C20H19orf70	2410015M20Rik	NO_ORTHO	si:dkey-78l4.14
APTX	APTX	Aptx	Aptx	aptx
SH3BGRL3	SH3BGRL3	Sh3bgrl3	"RGD1562039,Sh3bgrl3"	"zgc:153284,sh3bgrl3"
SH3BGRL2	"SH3BGRL2,LOC474977"	Sh3bgrl2	"LOC102554622,Sh3bgrl2"	sh3bgrl2
ODF3B	ODF3B	Odf3b	Odf3b	odf3b
OLFM3	OLFM3	"Olfm3,Olfm1"	"Olfm3,Olfm2,Olfm1"	"olfm3a,olfm3b"
OLFM2	OLFM2	Olfm2	Olfm2	"olfm2b,olfm2a"
OLFM1	"OLFM3,OLFM1"	"Olfm3,Olfm1"	"Olfm3,Olfm1"	"olfm1b,olfm1a"
OLFM4	OLFM4	Olfm4	Olfm4	"si:ch211-194m7.3,si:ch211-173a9.7,si:ch211-147m6.1,adgrl2b.1,LOC569381"
RAF1	"ARAF,RAF1,BRAF,TNNI3K"	"Araf,Raf1,Tnni3k,Braf"	"Araf,Raf1,Braf,Tnni3k"	"araf,tnni3k,raf1a,braf,raf1b"
DRAM1	DRAM1	Dram1	Dram1	dram1
DRAM2	DRAM2	Dram2	"Dram2,LOC689412"	"dram2a,dram2b"
RPL13A	"RPL13A,FLT3LG"	"Rpl13a,Rpl13a-ps1"	"Rpl13a,LOC100361061"	rpl13a
RNU6-743P	U6	Gm25985	NO_ORTHO	NO_ORTHO
BCL7C	BCL7C	Bcl7c	Bcl7c	"bcl7bb,bcl7ba"
BCL7B	BCL7B	Bcl7b	Bcl7b	"bcl7bb,bcl7ba"
BCL7A	BCL7A	Bcl7a	Bcl7a	bcl7a
RNU6-43P	NO_ORTHO	"Gm26127,Gm23293"	NO_ORTHO	NO_ORTHO
RNU6-183P	NO_ORTHO	"Gm25622,Gm24867"	NO_ORTHO	NO_ORTHO
EFNA5	"LOC608458,EFNA5"	"Efna5,Efna2"	"Efna5,Efna2"	"efna5b,efna5a"
EFNA4	EFNA4	Efna4	Efna4	si:dkey-246i14.3
EFNA3	EFNA3	Efna3	Efna3	"efna3a,efna3b"
EFNA2	LOC608458	"Efna5,Efna2"	"Efna5,Efna2"	"LOC100332852,efna2b,EFNA2 (2 of 2),efna2a"
EFNA1	EFNA1	Efna1	Efna1	"efna1b,efna1a"
CLCC1	CLCC1	Clcc1	Clcc1	clcc1
C1orf189	C7H1orf189	1700094D03Rik	RGD1564171	NO_ORTHO
UCN2	UCN2	Ucn2	Ucn2	ucn3l
UCN3	UCN3	Ucn3	Ucn3	ucn3l
RNU6-187P	U6	"Gm26227,Gm26062"	NO_ORTHO	NO_ORTHO
C1orf186	C38H1orf186	NO_ORTHO	NO_ORTHO	NO_ORTHO
APEX1	APEX1	Apex1	Apex1	apex1
APEX2	APEX2	Apex2	Apex2	apex2
SPOCD1	"SPOCD1,DIDO1"	"Spocd1,Dido1"	"Spocd1,Dido1"	NO_ORTHO
KMT2C	"MLL3,KMT2D"	"Kmt2c,Kmt2d"	Kmt2c	"kmt2ca,git2b,kmt2cb,kmt2d"
KMT2B	"RBM42,MLL4"	Kmt2b	Kmt2b	"kmt2bb,kmt2ba"
ESRRG	"ESRRG,ESRRB"	"Esrrg,Esrrb"	"Esrrg,Esrrb"	"esrrd,esrrgb,esrrga,esrrb"
ESRRA	ESRRA	Esrra	Esrra	"esrrd,esrra,esrrgb"
KMT2E	KMT2E	"Setd5,Kmt2e"	Kmt2e	kmt2e
KMT2D	"MLL3,KMT2D"	"Kmt2c,Kmt2d"	"Prkag1,Kmt2d"	"git2b,kmt2d"
CLEC11A	CLEC11A	Clec11a	Clec11a	clec11a
CRYM-AS1	NO_ORTHO	NO_ORTHO	Abca3	NO_ORTHO
ZNF718	"LOC482273,LOC484323"	"Zfp493,Zfp595,Zfp85,Zfp87,Rsl1,Zfp455,Zfp457,Zfp456,Zfp729a,Zfp458,Zfp429,Zfp874a,Zfp874b,Zfp953,Zfp72,Gm28557,Zfp58,Zfp708,Gm9894,Rslcan18,Zfp941,Zfp65"	"Zfp455,LOC100360380,LOC102547287,LOC680200,Rsl1,AABR07001099.1"	NO_ORTHO
ZNF714	"LOC482273,LOC484323"	"Zfp455,Gm28557,Zfp457,Zfp456,Zfp58,Rslcan18,Zfp708,Zfp729a,Zfp953,Gm9894,Zfp493,Zfp273,Zfp87,Zfp874a,Zfp874b,Zfp595,Zfp65,Rsl1,Zfp429"	"Zfp455,LOC100360380,LOC102547287,LOC680200,LOC501406,Rsl1,AABR07001099.1"	"znf1014,znf1021"
ZNF716	"LOC482273,LOC484323"	"Zfp455,Gm28557,Zfp457,Zfp456,Zfp58,Rslcan18,Zfp708,Zfp953,Gm9894,Zfp493,Zfp87,Zfp874a,Zfp874b,Zfp595,Zfp65,Rsl1,Zfp429"	"Zfp455,LOC100360380,LOC102547287,LOC680200,Rsl1,AABR07001099.1"	NO_ORTHO
ZNF717	NO_ORTHO	"Zfp599,Zfp810,2810021J22Rik,Zfp157,Zfp39,Gm12258"	"RGD1561277,Zfp39,LOC102555635"	"CR847941.1,si:ch1073-186o8.3,si:dkey-261j4.5,si:dkey-54f18.1,znf1007,znf1004,znf1000,znf1001,si:dkey-92c21.3,znf1008,znf1009,CR812792.1,znf970,znf1029,unm_sa1665,znf1026,znf1027,znf1020,znf1124,znf1022,zmp:0000001321,zgc:173573,si:dkey-9i5.5,LOC101886989,si:dkey-7j22.3,si:dkey-199m13.7,znf1028,zmp:0000000981,si:ch211-152l15.3,LOC100332443,znf1025,CR388363.1,blf,znf1015,si:ch211-229l10.11,BX324216.1,LOC100535697,znf1010,znf1013,znf1034,znf1033,znf1014,znf983,znf982"
ZNF710	"ZNF710,ZNF366"	"Zfp710,Zfp366"	"Zfp710,Zfp366"	"znf710a,znf710b,LOC100149283,znf366"
ZNF711	"ZFX,ZNF711"	"Zfp711,Zfy1,Zfx,Zfy2"	Zfp711	"zfx,znf711"
ZNF713	ZNF713	"Zfp661,EU599041"	NO_ORTHO	NO_ORTHO
